[s],CH1[V]
-1.9993E-03,8.212E-03
-1.9952E-03,9.012E-03
-1.9911E-03,9.012E-03
-1.9870E-03,1.141E-02
-1.9829E-03,1.141E-02
-1.9789E-03,1.061E-02
-1.9748E-03,1.061E-02
-1.9707E-03,1.141E-02
-1.9666E-03,9.812E-03
-1.9625E-03,1.221E-02
-1.9585E-03,1.221E-02
-1.9544E-03,1.301E-02
-1.9503E-03,1.221E-02
-1.9462E-03,1.381E-02
-1.9421E-03,1.221E-02
-1.9381E-03,1.461E-02
-1.9340E-03,1.301E-02
-1.9299E-03,1.381E-02
-1.9258E-03,1.461E-02
-1.9217E-03,1.541E-02
-1.9177E-03,1.461E-02
-1.9136E-03,1.541E-02
-1.9095E-03,1.541E-02
-1.9054E-03,1.381E-02
-1.9013E-03,1.621E-02
-1.8973E-03,1.621E-02
-1.8932E-03,1.541E-02
-1.8891E-03,1.621E-02
-1.8850E-03,1.621E-02
-1.8809E-03,1.861E-02
-1.8769E-03,1.781E-02
-1.8728E-03,1.861E-02
-1.8687E-03,1.701E-02
-1.8646E-03,1.621E-02
-1.8605E-03,1.621E-02
-1.8565E-03,1.781E-02
-1.8524E-03,1.861E-02
-1.8483E-03,1.861E-02
-1.8442E-03,1.941E-02
-1.8401E-03,1.861E-02
-1.8361E-03,2.021E-02
-1.8320E-03,2.021E-02
-1.8279E-03,1.781E-02
-1.8238E-03,1.861E-02
-1.8197E-03,1.861E-02
-1.8157E-03,2.021E-02
-1.8116E-03,1.941E-02
-1.8075E-03,1.941E-02
-1.8034E-03,1.941E-02
-1.7993E-03,1.941E-02
-1.7953E-03,2.101E-02
-1.7912E-03,1.941E-02
-1.7871E-03,2.021E-02
-1.7830E-03,2.101E-02
-1.7789E-03,2.181E-02
-1.7749E-03,2.181E-02
-1.7708E-03,2.181E-02
-1.7667E-03,2.261E-02
-1.7626E-03,2.181E-02
-1.7585E-03,2.181E-02
-1.7545E-03,2.181E-02
-1.7504E-03,2.261E-02
-1.7463E-03,2.261E-02
-1.7422E-03,2.101E-02
-1.7381E-03,2.101E-02
-1.7341E-03,2.261E-02
-1.7300E-03,2.181E-02
-1.7259E-03,2.021E-02
-1.7218E-03,2.101E-02
-1.7177E-03,1.941E-02
-1.7137E-03,2.101E-02
-1.7096E-03,2.101E-02
-1.7055E-03,2.341E-02
-1.7014E-03,2.421E-02
-1.6973E-03,2.341E-02
-1.6933E-03,2.261E-02
-1.6892E-03,2.421E-02
-1.6851E-03,2.421E-02
-1.6810E-03,2.341E-02
-1.6769E-03,2.501E-02
-1.6729E-03,2.421E-02
-1.6688E-03,2.261E-02
-1.6647E-03,2.501E-02
-1.6606E-03,2.501E-02
-1.6565E-03,2.341E-02
-1.6525E-03,2.261E-02
-1.6484E-03,2.261E-02
-1.6443E-03,2.181E-02
-1.6402E-03,2.421E-02
-1.6361E-03,2.261E-02
-1.6321E-03,2.421E-02
-1.6280E-03,2.181E-02
-1.6239E-03,2.341E-02
-1.6198E-03,2.341E-02
-1.6157E-03,2.421E-02
-1.6117E-03,2.341E-02
-1.6076E-03,2.501E-02
-1.6035E-03,2.741E-02
-1.5994E-03,2.341E-02
-1.5953E-03,2.341E-02
-1.5913E-03,2.501E-02
-1.5872E-03,2.501E-02
-1.5831E-03,2.661E-02
-1.5790E-03,2.501E-02
-1.5749E-03,2.501E-02
-1.5709E-03,2.741E-02
-1.5668E-03,2.581E-02
-1.5627E-03,2.581E-02
-1.5586E-03,2.421E-02
-1.5545E-03,2.501E-02
-1.5505E-03,2.421E-02
-1.5464E-03,2.421E-02
-1.5423E-03,2.501E-02
-1.5382E-03,2.421E-02
-1.5341E-03,2.341E-02
-1.5301E-03,2.261E-02
-1.5260E-03,2.261E-02
-1.5219E-03,2.261E-02
-1.5178E-03,2.341E-02
-1.5137E-03,2.421E-02
-1.5097E-03,2.421E-02
-1.5056E-03,2.261E-02
-1.5015E-03,2.501E-02
-1.4974E-03,2.341E-02
-1.4933E-03,2.421E-02
-1.4893E-03,2.581E-02
-1.4852E-03,2.501E-02
-1.4811E-03,2.501E-02
-1.4770E-03,2.421E-02
-1.4729E-03,2.421E-02
-1.4689E-03,2.421E-02
-1.4648E-03,2.341E-02
-1.4607E-03,2.341E-02
-1.4566E-03,2.341E-02
-1.4525E-03,2.181E-02
-1.4485E-03,2.341E-02
-1.4444E-03,2.261E-02
-1.4403E-03,2.101E-02
-1.4362E-03,2.261E-02
-1.4321E-03,2.261E-02
-1.4281E-03,2.181E-02
-1.4240E-03,2.181E-02
-1.4199E-03,2.021E-02
-1.4158E-03,2.181E-02
-1.4117E-03,2.021E-02
