[s],CH1[V]
-1.1999E-02,2.920E+00
-1.1995E-02,2.840E+00
-1.1991E-02,2.920E+00
-1.1987E-02,2.840E+00
-1.1983E-02,3.080E+00
-1.1979E-02,2.600E+00
-1.1975E-02,2.680E+00
-1.1971E-02,2.520E+00
-1.1967E-02,2.520E+00
-1.1963E-02,2.760E+00
-1.1958E-02,2.440E+00
-1.1954E-02,2.200E+00
-1.1950E-02,2.600E+00
-1.1946E-02,2.200E+00
-1.1942E-02,2.520E+00
-1.1938E-02,2.360E+00
-1.1934E-02,2.280E+00
-1.1930E-02,2.680E+00
-1.1926E-02,2.520E+00
-1.1922E-02,2.120E+00
-1.1918E-02,2.040E+00
-1.1914E-02,2.280E+00
-1.1910E-02,2.520E+00
-1.1905E-02,2.360E+00
-1.1901E-02,2.120E+00
-1.1897E-02,1.880E+00
-1.1893E-02,2.120E+00
-1.1889E-02,2.120E+00
-1.1885E-02,1.800E+00
-1.1881E-02,1.720E+00
-1.1877E-02,1.720E+00
-1.1873E-02,1.720E+00
-1.1869E-02,2.040E+00
-1.1865E-02,1.400E+00
-1.1861E-02,1.800E+00
-1.1856E-02,1.640E+00
-1.1852E-02,1.560E+00
-1.1848E-02,1.640E+00
-1.1844E-02,1.160E+00
-1.1840E-02,1.400E+00
-1.1836E-02,1.560E+00
-1.1832E-02,1.320E+00
-1.1828E-02,1.560E+00
-1.1824E-02,1.400E+00
-1.1820E-02,1.240E+00
-1.1816E-02,1.560E+00
-1.1812E-02,1.560E+00
-1.1808E-02,1.160E+00
-1.1803E-02,1.240E+00
-1.1799E-02,9.200E-01
-1.1795E-02,1.160E+00
-1.1791E-02,9.200E-01
-1.1787E-02,1.000E+00
-1.1783E-02,9.200E-01
-1.1779E-02,1.000E+00
-1.1775E-02,1.160E+00
-1.1771E-02,1.080E+00
-1.1767E-02,9.200E-01
-1.1763E-02,8.400E-01
-1.1759E-02,7.600E-01
-1.1754E-02,6.000E-01
-1.1750E-02,3.600E-01
-1.1746E-02,3.600E-01
-1.1742E-02,2.800E-01
-1.1738E-02,3.600E-01
-1.1734E-02,2.800E-01
-1.1730E-02,5.200E-01
-1.1726E-02,1.200E-01
-1.1722E-02,3.600E-01
-1.1718E-02,2.000E-01
-1.1714E-02,4.400E-01
-1.1710E-02,2.000E-01
-1.1706E-02,-4.000E-02
-1.1701E-02,-4.000E-02
-1.1697E-02,-2.000E-01
-1.1693E-02,-2.000E-01
-1.1689E-02,-4.000E-02
-1.1685E-02,-1.200E-01
-1.1681E-02,-2.800E-01
-1.1677E-02,-2.000E-01
-1.1673E-02,-5.200E-01
-1.1669E-02,-2.800E-01
-1.1665E-02,-2.800E-01
-1.1661E-02,-6.000E-01
-1.1657E-02,-2.000E-01
-1.1652E-02,-6.000E-01
-1.1648E-02,-6.000E-01
-1.1644E-02,-6.800E-01
-1.1640E-02,-9.200E-01
-1.1636E-02,-8.400E-01
-1.1632E-02,-7.600E-01
-1.1628E-02,-8.400E-01
-1.1624E-02,-6.800E-01
-1.1620E-02,-1.000E+00
-1.1616E-02,-1.000E+00
-1.1612E-02,-9.200E-01
-1.1608E-02,-1.160E+00
-1.1604E-02,-1.080E+00
-1.1599E-02,-8.400E-01
-1.1595E-02,-1.080E+00
-1.1591E-02,-1.160E+00
-1.1587E-02,-1.240E+00
-1.1583E-02,-1.560E+00
-1.1579E-02,-1.240E+00
-1.1575E-02,-1.480E+00
-1.1571E-02,-1.000E+00
-1.1567E-02,-1.080E+00
-1.1563E-02,-1.720E+00
-1.1559E-02,-1.640E+00
-1.1555E-02,-1.720E+00
-1.1550E-02,-1.720E+00
-1.1546E-02,-1.720E+00
-1.1542E-02,-1.720E+00
-1.1538E-02,-1.640E+00
-1.1534E-02,-1.640E+00
-1.1530E-02,-1.960E+00
-1.1526E-02,-1.880E+00
-1.1522E-02,-1.880E+00
-1.1518E-02,-1.640E+00
-1.1514E-02,-1.960E+00
-1.1510E-02,-2.040E+00
-1.1506E-02,-2.040E+00
-1.1502E-02,-2.120E+00
-1.1497E-02,-1.960E+00
-1.1493E-02,-2.360E+00
-1.1489E-02,-2.120E+00
-1.1485E-02,-2.360E+00
-1.1481E-02,-2.360E+00
-1.1477E-02,-2.360E+00
-1.1473E-02,-2.600E+00
-1.1469E-02,-2.600E+00
-1.1465E-02,-2.520E+00
-1.1461E-02,-2.360E+00
-1.1457E-02,-2.600E+00
-1.1453E-02,-2.440E+00
-1.1448E-02,-2.680E+00
-1.1444E-02,-2.840E+00
-1.1440E-02,-2.600E+00
-1.1436E-02,-2.600E+00
-1.1432E-02,-3.000E+00
-1.1428E-02,-2.760E+00
-1.1424E-02,-2.840E+00
-1.1420E-02,-2.920E+00
-1.1416E-02,-2.920E+00
-1.1412E-02,-2.840E+00
-1.1408E-02,-3.000E+00
-1.1404E-02,-2.840E+00
-1.1400E-02,-3.000E+00
-1.1395E-02,-3.000E+00
-1.1391E-02,-3.080E+00
-1.1387E-02,-2.920E+00
-1.1383E-02,-3.080E+00
-1.1379E-02,-3.160E+00
-1.1375E-02,-3.160E+00
-1.1371E-02,-3.240E+00
-1.1367E-02,-3.240E+00
-1.1363E-02,-3.320E+00
-1.1359E-02,-3.160E+00
-1.1355E-02,-3.320E+00
-1.1351E-02,-3.400E+00
-1.1346E-02,-3.160E+00
-1.1342E-02,-3.240E+00
-1.1338E-02,-3.400E+00
-1.1334E-02,-3.240E+00
-1.1330E-02,-3.480E+00
-1.1326E-02,-3.480E+00
-1.1322E-02,-3.480E+00
-1.1318E-02,-3.480E+00
-1.1314E-02,-3.480E+00
-1.1310E-02,-3.480E+00
-1.1306E-02,-3.560E+00
-1.1302E-02,-3.560E+00
-1.1298E-02,-3.560E+00
-1.1293E-02,-3.560E+00
-1.1289E-02,-3.560E+00
-1.1285E-02,-3.560E+00
-1.1281E-02,-3.640E+00
-1.1277E-02,-3.560E+00
-1.1273E-02,-3.560E+00
-1.1269E-02,-3.640E+00
-1.1265E-02,-3.560E+00
-1.1261E-02,-3.640E+00
-1.1257E-02,-3.640E+00
-1.1253E-02,-3.560E+00
-1.1249E-02,-3.560E+00
-1.1244E-02,-3.640E+00
-1.1240E-02,-3.640E+00
-1.1236E-02,-3.640E+00
-1.1232E-02,-3.560E+00
-1.1228E-02,-3.560E+00
-1.1224E-02,-3.560E+00
-1.1220E-02,-3.640E+00
-1.1216E-02,-3.640E+00
-1.1212E-02,-3.560E+00
-1.1208E-02,-3.560E+00
-1.1204E-02,-3.640E+00
-1.1200E-02,-3.640E+00
-1.1196E-02,-3.640E+00
-1.1191E-02,-3.640E+00
-1.1187E-02,-3.640E+00
-1.1183E-02,-3.560E+00
-1.1179E-02,-3.640E+00
-1.1175E-02,-3.640E+00
-1.1171E-02,-3.560E+00
-1.1167E-02,-3.560E+00
-1.1163E-02,-3.640E+00
-1.1159E-02,-3.640E+00
-1.1155E-02,-3.560E+00
-1.1151E-02,-3.560E+00
-1.1147E-02,-3.640E+00
-1.1142E-02,-3.640E+00
-1.1138E-02,-3.640E+00
-1.1134E-02,-3.640E+00
-1.1130E-02,-3.640E+00
-1.1126E-02,-3.560E+00
-1.1122E-02,-3.640E+00
-1.1118E-02,-3.640E+00
-1.1114E-02,-3.640E+00
-1.1110E-02,-3.640E+00
-1.1106E-02,-3.640E+00
-1.1102E-02,-3.640E+00
-1.1098E-02,-3.640E+00
-1.1094E-02,-3.640E+00
-1.1089E-02,-3.560E+00
-1.1085E-02,-3.640E+00
